src,dst,weight
112,10009,0.584962500721
112,14846,-0.415037499279
113,169,0.584962500721
113,9926,-0.415037499279
114,10012,0.584962500721
114,5006,-0.415037499279
115,172,0.584962500721
115,86,-0.415037499279
116,10015,0.584962500721
116,14849,-0.415037499279
117,175,0.584962500721
117,9929,-0.415037499279
118,10018,0.584962500721
118,5009,-0.415037499279
119,178,0.584962500721
119,89,-0.415037499279
120,10021,0.584962500721
120,14852,-0.415037499279
121,181,0.584962500721
121,9932,-0.415037499279
122,10024,0.584962500721
122,5012,-0.415037499279
123,184,0.584962500721
123,92,-0.415037499279
124,10027,0.584962500721
124,14855,-0.415037499279
125,187,0.584962500721
125,9935,-0.415037499279
126,10030,0.584962500721
126,5015,-0.415037499279
127,190,0.584962500721
127,95,-0.415037499279
128,10033,0.584962500721
128,14858,-0.415037499279
129,193,0.584962500721
129,9938,-0.415037499279
130,10036,0.584962500721
130,5018,-0.415037499279
131,196,0.584962500721
131,98,-0.415037499279
132,10039,0.584962500721
132,14861,-0.415037499279
133,199,0.584962500721
133,9941,-0.415037499279
134,10042,0.584962500721
134,5021,-0.415037499279
135,202,0.584962500721
135,101,-0.415037499279
136,10045,0.584962500721
136,14864,-0.415037499279
137,205,0.584962500721
137,9944,-0.415037499279
138,10048,0.584962500721
138,5024,-0.415037499279
139,208,0.584962500721
139,104,-0.415037499279
140,10051,0.584962500721
140,14867,-0.415037499279
141,211,0.584962500721
141,9947,-0.415037499279
142,10054,0.584962500721
142,5027,-0.415037499279
143,214,0.584962500721
143,107,-0.415037499279
144,10057,0.584962500721
144,14870,-0.415037499279
145,217,0.584962500721
145,9950,-0.415037499279
146,10060,0.584962500721
146,5030,-0.415037499279
147,220,0.584962500721
147,110,-0.415037499279
148,10063,0.584962500721
148,14873,-0.415037499279
149,223,0.584962500721
149,9953,-0.415037499279
150,10066,0.584962500721
150,5033,-0.415037499279
151,226,0.584962500721
151,113,-0.415037499279
152,10069,0.584962500721
152,14876,-0.415037499279
153,229,0.584962500721
153,9956,-0.415037499279
154,10072,0.584962500721
154,5036,-0.415037499279
155,232,0.584962500721
155,116,-0.415037499279
156,10075,0.584962500721
156,14879,-0.415037499279
157,235,0.584962500721
157,9959,-0.415037499279
158,10078,0.584962500721
158,5039,-0.415037499279
159,238,0.584962500721
159,119,-0.415037499279
160,10081,0.584962500721
160,14882,-0.415037499279
161,241,0.584962500721
161,9962,-0.415037499279
162,10084,0.584962500721
162,5042,-0.415037499279
163,244,0.584962500721
163,122,-0.415037499279
164,10087,0.584962500721
164,14885,-0.415037499279
165,247,0.584962500721
165,9965,-0.415037499279
166,10090,0.584962500721
166,5045,-0.415037499279
167,250,0.584962500721
167,125,-0.415037499279
168,10093,0.584962500721
168,14888,-0.415037499279
169,253,0.584962500721
169,9968,-0.415037499279
170,10096,0.584962500721
170,5048,-0.415037499279
171,256,0.584962500721
171,128,-0.415037499279
172,10099,0.584962500721
172,14891,-0.415037499279
173,259,0.584962500721
173,9971,-0.415037499279
174,10102,0.584962500721
174,5051,-0.415037499279
175,262,0.584962500721
175,131,-0.415037499279
176,10105,0.584962500721
176,14894,-0.415037499279
177,265,0.584962500721
177,9974,-0.415037499279
178,10108,0.584962500721
178,5054,-0.415037499279
179,268,0.584962500721
179,134,-0.415037499279
180,10111,0.584962500721
180,14897,-0.415037499279
181,271,0.584962500721
181,9977,-0.415037499279
182,10114,0.584962500721
182,5057,-0.415037499279
183,274,0.584962500721
183,137,-0.415037499279
184,10117,0.584962500721
184,14900,-0.415037499279
185,277,0.584962500721
185,9980,-0.415037499279
186,10120,0.584962500721
186,5060,-0.415037499279
187,280,0.584962500721
187,140,-0.415037499279
188,10123,0.584962500721
188,14903,-0.415037499279
189,283,0.584962500721
189,9983,-0.415037499279
190,10126,0.584962500721
