src,dst,weight,k
66,9940,0.584962500721,1
66,4970,-0.415037499279,2
67,100,0.584962500721,1
67,50,-0.415037499279,2
68,9943,0.584962500721,1
68,14813,-0.415037499279,2
69,103,0.584962500721,1
69,9893,-0.415037499279,2
70,9946,0.584962500721,1
70,4973,-0.415037499279,2
71,106,0.584962500721,1
71,53,-0.415037499279,2
72,9949,0.584962500721,1
72,14816,-0.415037499279,2
73,109,0.584962500721,1
73,9896,-0.415037499279,2
74,9952,0.584962500721,1
74,4976,-0.415037499279,2
75,112,0.584962500721,1
75,56,-0.415037499279,2
76,9955,0.584962500721,1
76,14819,-0.415037499279,2
77,115,0.584962500721,1
77,9899,-0.415037499279,2
78,9958,0.584962500721,1
78,4979,-0.415037499279,2
79,118,0.584962500721,1
79,59,-0.415037499279,2
80,9961,0.584962500721,1
80,14822,-0.415037499279,2
81,121,0.584962500721,1
81,9902,-0.415037499279,2
82,9964,0.584962500721,1
82,4982,-0.415037499279,2
83,124,0.584962500721,1
83,62,-0.415037499279,2
84,9967,0.584962500721,1
84,14825,-0.415037499279,2
85,127,0.584962500721,1
85,9905,-0.415037499279,2
86,9970,0.584962500721,1
86,4985,-0.415037499279,2
87,130,0.584962500721,1
87,65,-0.415037499279,2
88,9973,0.584962500721,1
88,14828,-0.415037499279,2
89,133,0.584962500721,1
89,9908,-0.415037499279,2
90,9976,0.584962500721,1
90,4988,-0.415037499279,2
91,136,0.584962500721,1
91,68,-0.415037499279,2
92,9979,0.584962500721,1
92,14831,-0.415037499279,2
93,139,0.584962500721,1
93,9911,-0.415037499279,2
94,9982,0.584962500721,1
94,4991,-0.415037499279,2
95,142,0.584962500721,1
95,71,-0.415037499279,2
96,9985,0.584962500721,1
96,14834,-0.415037499279,2
97,145,0.584962500721,1
97,9914,-0.415037499279,2
98,9988,0.584962500721,1
98,4994,-0.415037499279,2
99,148,0.584962500721,1
99,74,-0.415037499279,2
100,9991,0.584962500721,1
100,14837,-0.415037499279,2
101,151,0.584962500721,1
101,9917,-0.415037499279,2
102,9994,0.584962500721,1
102,4997,-0.415037499279,2
103,154,0.584962500721,1
103,77,-0.415037499279,2
104,9997,0.584962500721,1
104,14840,-0.415037499279,2
105,157,0.584962500721,1
105,9920,-0.415037499279,2
106,10000,0.584962500721,1
106,5000,-0.415037499279,2
107,160,0.584962500721,1
107,80,-0.415037499279,2
108,10003,0.584962500721,1
108,14843,-0.415037499279,2
109,163,0.584962500721,1
109,9923,-0.415037499279,2
110,10006,0.584962500721,1
110,5003,-0.415037499279,2
111,166,0.584962500721,1
111,83,-0.415037499279,2
112,10009,0.584962500721,1
112,14846,-0.415037499279,2
113,169,0.584962500721,1
113,9926,-0.415037499279,2
114,10012,0.584962500721,1
114,5006,-0.415037499279,2
115,172,0.584962500721,1
115,86,-0.415037499279,2
116,10015,0.584962500721,1
116,14849,-0.415037499279,2
117,175,0.584962500721,1
117,9929,-0.415037499279,2
118,10018,0.584962500721,1
118,5009,-0.415037499279,2
119,178,0.584962500721,1
119,89,-0.415037499279,2
120,10021,0.584962500721,1
120,14852,-0.415037499279,2
121,181,0.584962500721,1
121,9932,-0.415037499279,2
122,10024,0.584962500721,1
122,5012,-0.415037499279,2
123,184,0.584962500721,1
123,92,-0.415037499279,2
124,10027,0.584962500721,1
124,14855,-0.415037499279,2
125,187,0.584962500721,1
125,9935,-0.415037499279,2
126,10030,0.584962500721,1
126,5015,-0.415037499279,2
127,190,0.584962500721,1
127,95,-0.415037499279,2
128,10033,0.584962500721,1
128,14858,-0.415037499279,2
129,193,0.584962500721,1
129,9938,-0.415037499279,2
130,10036,0.584962500721,1
130,5018,-0.415037499279,2
131,196,0.584962500721,1
131,98,-0.415037499279,2
132,10039,0.584962500721,1
132,14861,-0.415037499279,2
133,199,0.584962500721,1
133,9941,-0.415037499279,2
134,10042,0.584962500721,1
134,5021,-0.415037499279,2
135,202,0.584962500721,1
135,101,-0.415037499279,2
136,10045,0.584962500721,1
136,14864,-0.415037499279,2
137,205,0.584962500721,1
137,9944,-0.415037499279,2
138,10048,0.584962500721,1
138,5024,-0.415037499279,2
139,208,0.584962500721,1
139,104,-0.415037499279,2
140,10051,0.584962500721,1
140,14867,-0.415037499279,2
141,211,0.584962500721,1
141,9947,-0.415037499279,2
142,10054,0.584962500721,1
142,5027,-0.415037499279,2
143,214,0.584962500721,1
143,107,-0.415037499279,2
144,10057,0.584962500721,1
144,14870,-0.415037499279,2
145,217,0.584962500721,1
145,9950,-0.415037499279,2
146,10060,0.584962500721,1
146,5030,-0.415037499279,2
147,220,0.584962500721,1
147,110,-0.415037499279,2
148,10063,0.584962500721,1
148,14873,-0.415037499279,2
149,223,0.584962500721,1
149,9953,-0.415037499279,2
150,10066,0.584962500721,1
150,5033,-0.415037499279,2
151,226,0.584962500721,1
151,113,-0.415037499279,2
152,10069,0.584962500721,1
152,14876,-0.415037499279,2
153,229,0.584962500721,1
153,9956,-0.415037499279,2
154,10072,0.584962500721,1
154,5036,-0.415037499279,2
155,232,0.584962500721,1
155,116,-0.415037499279,2
156,10075,0.584962500721,1
156,14879,-0.415037499279,2
157,235,0.584962500721,1
157,9959,-0.415037499279,2
158,10078,0.584962500721,1
158,5039,-0.415037499279,2
159,238,0.584962500721,1
159,119,-0.415037499279,2
160,10081,0.584962500721,1
160,14882,-0.415037499279,2
161,241,0.584962500721,1
161,9962,-0.415037499279,2
162,10084,0.584962500721,1
162,5042,-0.415037499279,2
163,244,0.584962500721,1
163,122,-0.415037499279,2
164,10087,0.584962500721,1
164,14885,-0.415037499279,2
165,247,0.584962500721,1
165,9965,-0.415037499279,2
166,10090,0.584962500721,1
166,5045,-0.415037499279,2
167,250,0.584962500721,1
167,125,-0.415037499279,2
168,10093,0.584962500721,1
168,14888,-0.415037499279,2
169,253,0.584962500721,1
169,9968,-0.415037499279,2
170,10096,0.584962500721,1
170,5048,-0.415037499279,2
171,256,0.584962500721,1
171,128,-0.415037499279,2
172,10099,0.584962500721,1
172,14891,-0.415037499279,2
173,259,0.584962500721,1
173,9971,-0.415037499279,2
174,10102,0.584962500721,1
174,5051,-0.415037499279,2
175,262,0.584962500721,1
175,131,-0.415037499279,2
176,10105,0.584962500721,1
