node,h
298,-0.001008343894
299,-0.002057330412
300,-0.001002480736
301,-0.000860378517
302,-0.000985619899
303,-0.003335891216
304,-0.000879035277
305,-0.000931648787
306,-0.000918901471
307,-0.002603622021
308,-0.001200352702
309,-0.000949140481
310,-0.000931429719
311,-0.002156267101
312,-0.000845641661
313,-0.000939223256
314,-0.000869340749
315,-0.002196430331
316,-0.000843971610
317,-0.001159766665
318,-0.001043272732
319,-0.004920230008
320,-0.001270736059
321,-0.000862042810
322,-0.001040544358
323,-0.001790885844
324,-0.001053640931
325,-0.000832855263
326,-0.000919328249
327,-0.001888565743
328,-0.000932558770
329,-0.000867986681
330,-0.000808948037
331,-0.001773640895
332,-0.000806285299
333,-0.001527125424
334,-0.001094558332
335,-0.002977290211
336,-0.000956367734
337,-0.000906539203
338,-0.000787199120
339,-0.001806549079
340,-0.001147521314
341,-0.000769532031
342,-0.001115405023
343,-0.001681989704
344,-0.000778418864
345,-0.001074492317
346,-0.001586043983
347,-0.001774834524
348,-0.000798256895
349,-0.000803493735
350,-0.000951947617
351,-0.002914198010
352,-0.000706869080
353,-0.000872022708
354,-0.000920240348
355,-0.001618617186
356,-0.000934122463
357,-0.000828659559
358,-0.001296339800
359,-0.001918993110
360,-0.000734113989
361,-0.001046275747
362,-0.000799592498
363,-0.001878749609
364,-0.000781948862
365,-0.000715399274
366,-0.000797050573
367,-0.002847298582
368,-0.000705245662
369,-0.001245160545
370,-0.000759108873
371,-0.001596493294
372,-0.001492757715
373,-0.000707280760
374,-0.000744536634
375,-0.002646216087
376,-0.000818537351
377,-0.000725366162
378,-0.000772447271
379,-0.001533965223
380,-0.000877181245
381,-0.000816667226
382,-0.000724997714
383,-0.004104519233
384,-0.000736775195
385,-0.000974348165
386,-0.000914614626
387,-0.001520222668
388,-0.000963559549
389,-0.000816582543
390,-0.000798629101
391,-0.001531199259
392,-0.000854022435
393,-0.000787739159
394,-0.000716561823
395,-0.001448254618
396,-0.000991805624
397,-0.001031532087
398,-0.001275742257
399,-0.002648372936
400,-0.000720270739
401,-0.000660771490
402,-0.000819098635
403,-0.001570668538
404,-0.000756057534
405,-0.000663328224
406,-0.000725806180
407,-0.001510821478
408,-0.000773975195
409,-0.000786462485
410,-0.000694385460
411,-0.001773763935
412,-0.000660487015
413,-0.000652770925
414,-0.000808892081
415,-0.002724028051
416,-0.000616584510
417,-0.000759870587
418,-0.000706661174
419,-0.001431559406
420,-0.000824980621
421,-0.000846561215
422,-0.001100040930
423,-0.001716547950
424,-0.000832818746
425,-0.000800298800
426,-0.000851731798
427,-0.001822181944
428,-0.000705715531
429,-0.000671660618
430,-0.000705334170
431,-0.002337095457
432,-0.000716287910
433,-0.000582806404
434,-0.000743918736
435,-0.001460397981
436,-0.000952824309
437,-0.000832511527
438,-0.000717037455
439,-0.001404010288
440,-0.000625086713
441,-0.000739838930
442,-0.000797786510
443,-0.001337353991
444,-0.000812774115
445,-0.000695513743
446,-0.000636641728
447,-0.003503492751
448,-0.000659783267
449,-0.000624607909
450,-0.001453310638
451,-0.001308621904
452,-0.000717787383
453,-0.000817149847
454,-0.000681179053
455,-0.001286259177
456,-0.001645796673
457,-0.000683303797
458,-0.000596710958
459,-0.001290532287
460,-0.000579222325
461,-0.001028953056
462,-0.000773257377
463,-0.002282414015
464,-0.000661345109
465,-0.000607436194
466,-0.000655109392
467,-0.001455070914
468,-0.000699288589
469,-0.000692996594
470,-0.000633174484
471,-0.001370765567
472,-0.000625414150
473,-0.000778745924
474,-0.000587056214
475,-0.001428558724
476,-0.000690851295
477,-0.000894271465
478,-0.000729268322
479,-0.002409194762
480,-0.000759729112
481,-0.000572972537
482,-0.000568217909
483,-0.001285629742
484,-0.000819520027
485,-0.000502963103
486,-0.001034150930
487,-0.001197340577
488,-0.000676769620
489,-0.000978945041
490,-0.000616669072
491,-0.001183157816
492,-0.000615057822
493,-0.000639634341
494,-0.000598580440
495,-0.002070441472
496,-0.000781050387
497,-0.000571036135
498,-0.003681052728
499,-0.001214584440
500,-0.000863726746
501,-0.000605461752
502,-0.000909209491
503,-0.001191575681
504,-0.000865016487
505,-0.000616095135
506,-0.000654665896
507,-0.001339613091
508,-0.000983204638
509,-0.000544207163
510,-0.000666932844
511,-0.004563232596
512,-0.000512707707
513,-0.000602321212
514,-0.000675425342
515,-0.001369667316
516,-0.000750989865
517,-0.000557760668
518,-0.000598193204
519,-0.001268031032
520,-0.000567710928
521,-0.000577141888
522,-0.000537549420
523,-0.001301921898
