D,F(D),Sigma(D),F(Sigma(D))
434,-1176,651,-742
435,-700,82,-265
436,-163283,654,-162847
437,-19539,328,-19102
438,-2523,657,-2085
439,-1587,165,-1148
440,-18663,660,-18223
441,-10888,331,-10447
442,-1589,663,-1147
443,-10648,42,-10205
444,-3276,666,-2832
445,-34965,334,-34520
446,-7681,669,-7235
447,-9815,168,-9368
448,-55583,672,-55135
449,-3704,337,-3255
450,-11729,675,-11279
451,-3324,85,-2873
452,-13339,678,-12887
453,-6901,340,-6448
454,-8005,681,-7551
455,-626,171,-171
456,-4465,684,-4009
457,-11291,343,-10834
458,-12055,687,-11597
459,-587,22,-128
460,-12504,690,-12044
461,-11791,346,-11330
462,-6528,693,-6066
463,-12276,174,-11813
464,-41136,696,-40672
465,-12080,349,-11615
466,-1378,699,-912
467,-9949,88,-9482
468,-15917,702,-15449
469,-444304,352,-443835
470,-12214,705,-11744
471,-12029,177,-11558
472,-5059,708,-4587
473,-958,355,-485
474,-1515,711,-1041
475,-655,45,-180
476,-3366,714,-2890
477,-2136,358,-1659
478,-3128,717,-2650
479,-6103,180,-5624
480,-48540,720,-48060
481,-1611,361,-1130
482,-2438,723,-1956
483,-593,91,-110
484,-16233,726,-15749
485,-2792,364,-2307
486,-1944,729,-1458
487,-10468,183,-9981
488,-18345,732,-17857
489,-10878,367,-10389
490,-3914,735,-3424
491,-551,12,-60
492,-18774,738,-18282
493,-1428,370,-935
494,-4136,741,-3642
495,-1354,186,-859
496,-30612,744,-30116
497,-11544,373,-11047
498,-1293,747,-795
499,-1385,94,-886
500,-6564,750,-6064
501,-34186,376,-33685
502,-6566,753,-6064
503,-8837,189,-8334
504,-46541,756,-46037
505,-10960,379,-10455
506,-3740,759,-3234
507,-10984,48,-10477
508,-3757,762,-3249
509,-18772,382,-18263
510,-6108,765,-5598
511,-6870,192,-6359
512,-61909,768,-61397
513,-1658,385,-1145
514,-1804,771,-1290
515,-10877,97,-10362
516,-3832,774,-3316
517,-20344,388,-19827
518,-12234,777,-11716
519,-10984,195,-10465
520,-5373,780,-4853
521,-11292,391,-10771
522,-12487,783,-11965
523,-596,25,-73
524,-12805,786,-12281
525,-3482,394,-2957
526,-34070,789,-33544
527,-9789,198,-9262
528,-443483,792,-442955
529,-11039,397,-10510
530,-1429,795,-899
531,-11779,100,-11248
532,-7690,798,-7158
533,-10728,400,-10195
534,-5260,801,-4726
535,-987,201,-452
536,-26138,804,-25602
537,-1301,403,-764
538,-1933,807,-1395
539,-640,51,-101
540,-7030,810,-6490
541,-12847,406,-12306
542,-13962,813,-13420
543,-1640,204,-1097
544,-22563,816,-22019
545,-1512,409,-967
546,-1943,819,-1397
547,-729,103,-182
548,-9193,822,-8645
549,-15341,412,-14792
550,-2034,825,-1484
551,-10435,207,-9884
552,-5397,828,-4845
553,-11103,415,-10550
554,-17614,831,-17060
555,-565,7,-10
556,-2901,834,-2345
557,-13278,418,-12721
558,-26094,837,-25536
559,-1294,210,-735
560,-15075,840,-14515
561,-2813,421,-2252
562,-1831,843,-1269
563,-1214,106,-651
564,-33309,846,-32745
565,-5311,424,-4746
566,-5180,849,-4614
567,-8570,213,-8003
568,-14483,852,-13915
569,-999,427,-430
570,-3401,855,-2831
571,-10611,54,-10040
572,-3310,858,-2738
573,-17881,430,-17308
574,-4833,861,-4259
575,-3059,216,-2484
576,-27336,864,-26760
577,-17286,433,-16709
578,-1699,867,-1121
579,-953,109,-374
580,-6607,870,-6027
581,-163864,436,-163283
582,-19439,873,-18857
583,-10939,219,-10356
584,-5680,876,-5096
585,-2172,439,-1587
586,-3149,879,-2563
587,-10820,28,-10233
588,-12909,882,-12321
589,-2178,442,-1589
590,-12307,885,-11717
591,-2563,222,-1972
592,-32755,888,-32163
593,-35558,445,-34965
594,-10029,891,-9435
595,-10075,112,-9480
596,-13851,894,-13255
597,-56180,448,-55583
598,-13128,897,-12530
599,-11597,225,-10998
600,-9795,900,-9195
601,-3925,451,-3324
602,-4632,903,-4030
603,-703,57,-100
604,-8977,906,-8373
605,-8610,454,-8005
606,-30940,909,-30334
607,-2835,228,-2228
608,-33348,912,-32740
609,-11900,457,-11291
610,-12607,915,-11997
611,-854,115,-243
612,-15198,918,-14586
613,-13117,460,-12504
614,-12821,921,-12207
615,-1039,231,-424
616,-9858,924,-9242
617,-12893,463,-12276
618,-14380,927,-13762
619,-659,15,-40
620,-14211,930,-13591
621,-1999,466,-1378
622,-7443,933,-6821
623,-10602,234,-9979
624,-21133,936,-20509
625,-444929,469,-444304
626,-1590,939,-964
627,-12303,118,-11676
628,-24699,942,-24071
629,-5688,472,-5059
630,-9974,945,-9344
631,-1376,237,-745
632,-133445,948,-132813
633,-1288,475,-655
634,-3315,951,-2681
635,-1021,60,-386
636,-4322,954,-3686
637,-3765,478,-3128
638,-38698,957,-38060
639,-8269,240,-7630
640,-67356,960,-66716
641,-2252,481,-1611
642,-3019,963,-2377
643,-874,121,-231
644,-19752,966,-19108
645,-16878,484,-16233
646,-3398,969,-2752
647,-10734,243,-10087
648,-5447,972,-4799
649,-11117,487,-10468
650,-17332,975,-16682
651,-742,31,-91
652,-13119,978,-12467
653,-4567,490,-3914
654,-162847,981,-162193
655,-17984,246,-17329
656,-21121,984,-20465
657,-2085,493,-1428
658,-2202,987,-1544
659,-1642,124,-983
660,-18223,990,-17563
661,-31273,496,-30612
662,-3694,993,-3032
663,-1147,249,-484
664,-10832,996,-10168
665,-2050,499,-1385
666,-2832,999,-2166
667,-10830,63,-10163
668,-36482,1002,-35814
669,-7235,502,-6566
670,-3590,1005,-2920
671,-9871,252,-9200
672,-55135,1008,-54463
673,-11633,505,-10960
674,-4350,1011,-3676
675,-11279,127,-10604
676,-26894,1014,-26218
677,-4434,508,-3757
678,-12887,1017,-12209
679,-3658,255,-2979
680,-9784,1020,-9104
681,-7551,511,-6870
682,-29425,1023,-28743
683,-683,1,0
684,-4009,1026,-3325
685,-2489,514,-1804
686,-17563,1029,-16877
687,-11597,258,-10910
688,-9583,1032,-8895
689,-21033,517,-20344
690,-12044,1035,-11354
691,-11286,130,-10595
692,-100964,1038,-100272
693,-6066,520,-5373
694,-5665,1041,-4971
695,-12334,261,-11639
696,-40672,1044,-39976
697,-1293,523,-596
698,-12749,1047,-12051
699,-912,66,-213
700,-5888,1050,-5188
701,-34771,526,-34070
702,-15449,1053,-14747
703,-11392,264,-10689
704,-457164,1056,-456460
705,-11744,529,-11039
706,-2068,1059,-1362
707,-12088,133,-11381
708,-4587,1062,-3879
709,-8399,532,-7690
710,-14603,1065,-13893
