D,F(D),Sigma(D),F(Sigma(D))
85142,-543635,127713,-458493
85143,-142779,31929,-57636
85145,-232064,63859,-146919
85146,-331846,127719,-246700
85147,-101252,7983,-16105
85149,-703965,63862,-618816
85150,-832396,127725,-747246
85151,-637071,31932,-551920
85153,-202045,63865,-116892
85155,-148290,15967,-63135
85157,-1032988,63868,-947831
85158,-349878,127737,-264720
85159,-223019,31935,-137860
85161,-1530318,63871,-1445157
85163,-86580,250,-1417
85164,-1281058,127746,-1195894
85165,-1105100,63874,-1019935
85167,-312704,31938,-227537
85169,-1419219,63877,-1334050
85170,-373064,127755,-287894
85171,-279246,15970,-194075
85174,-1382451,127761,-1297277
85175,-621582,31941,-536407
85177,-153886,63883,-68709
85178,-921756,127767,-836578
85179,-106975,7986,-21796
85180,-1233672,127770,-1148492
85182,-713540,127773,-628358
85183,-431444,31944,-346261
85185,-388083,63889,-302898
85186,-396027,127779,-310841
85187,-301444,15973,-216257
85188,-698516,127782,-613328
85190,-666618,127785,-581428
85191,-122152,31947,-36961
85193,-341560,63895,-256367
85194,-483330,127791,-398136
85195,-98696,3994,-13501
85196,-574316,127794,-489120
85197,-441534,63898,-356337
85202,-471238,127803,-386036
85203,-429806,15976,-344603
85207,-324072,31953,-238865
85209,-434006,63907,-348797
85210,-533863,127815,-448653
85211,-398501,7989,-313290
85212,-788361,127818,-703149
85213,-585300,63910,-500087
85214,-1135510,127821,-1050296
85215,-592112,31956,-506897
85217,-1310342,63913,-1225125
85218,-1632850,127827,-1547632
85219,-102365,15979,-17146
85220,-1267855,127830,-1182635
85222,-340816,127833,-255594
85223,-172615,31959,-87392
85225,-243528,63919,-158303
85226,-1179288,127839,-1094062
85227,-115170,1998,-29943
85229,-262324,63922,-177095
85231,-195910,31962,-110679
85234,-241030,127851,-155796
85235,-250483,15982,-165248
85239,-215219,31965,-129980
85241,-186857,63931,-101616
85242,-516706,127863,-431464
85243,-251785,7992,-166542
85246,-731175,127869,-645929
85249,-566804,63937,-481555
85250,-357092,127875,-271842
85251,-330231,15985,-244980
85253,-592130,63940,-506877
85254,-553027,127881,-467773
85255,-124013,31971,-38758
85257,-173971,63943,-88714
85258,-639960,127887,-554702
85259,-115558,3997,-30299
85260,-668582,127890,-583322
85261,-567174,63946,-481913
85263,-223031,31974,-137768
85265,-311215,63949,-225950
85266,-248460,127899,-163194
85267,-404440,15988,-319173
85270,-399858,127905,-314588
85271,-179150,31977,-93879
85273,-336653,63955,-251380
85274,-436585,127911,-351311
85275,-99334,7995,-14059
85277,-548985,63958,-463708
85278,-503046,127917,-417768
85279,-1088704,31980,-1003425
85281,-209183,63961,-123902
85282,-276145,127923,-190863
85283,-119804,15991,-34521
85284,-1120858,127926,-1035574
85285,-556279,63964,-470994
85286,-321695,127929,-236409
85287,-155290,31983,-70003
85291,-96761,1000,-11470
85292,-566309,127938,-481017
85293,-467676,63970,-382383
85295,-170574,31986,-85279
85297,-439024,63973,-353727
85298,-326671,127947,-241373
85299,-232712,15994,-147413
85302,-640300,127953,-554998
85305,-159754,63979,-74449
85306,-708364,127959,-623058
85307,-138575,7998,-53268
85308,-481381,127962,-396073
85309,-717366,63982,-632057
85313,-777369,63985,-692056
85314,-246250,127971,-160936
85315,-233277,15997,-147962
85316,-649504,127974,-564188
85318,-487735,127977,-402417
85319,-249186,31995,-163867
85321,-802059,63991,-716738
85322,-944042,127983,-858720
85323,-268351,4000,-183028
85324,-534161,127986,-448837
85327,-447922,31998,-362595
85329,-745670,63997,-660341
85334,-1392273,128001,-1306939
85335,-1810892,32001,-1725557
85337,-225728,64003,-140391
85338,-325735,128007,-240397
85339,-180698,8001,-95359
85340,-2343678,128010,-2258338
85341,-393001,64006,-307660
85343,-452740,32004,-367397
85345,-292220,64009,-206875
85346,-413994,128019,-328648
85347,-107253,16003,-21906
85348,-780939,128022,-695591
85349,-476389,64012,-391040
85350,-1563749,128025,-1478399
85351,-132263,32007,-46912
85353,-1922538,64015,-1837185
85354,-2127590,128031,-2042236
85355,-94907,2001,-9552
85356,-2430541,128034,-2345185
85357,-255056,64018,-169699
85359,-264638,32010,-179279
85362,-220956,128043,-135594
85363,-166854,16006,-81491
85366,-1061584,128049,-976218
85367,-222821,32013,-137454
85369,-161449,64027,-76080
85370,-846284,128055,-760914
85371,-153813,8004,-68442
85372,-595141,128058,-509769
85373,-878052,64030,-792679
85375,-747478,32016,-662103
85377,-264722,64033,-179345
85378,-306997,128067,-221619
85379,-122822,16009,-37443
85381,-1008290,64036,-922909
85382,-571463,128073,-486081
85383,-265217,32019,-179834
85385,-315250,64039,-229865
85386,-488707,128079,-403321
85387,-91391,4003,-6004
85388,-600314,128082,-514926
85389,-800990,64042,-715601
85391,-231725,32022,-146334
85393,-365771,64045,-280378
85394,-244914,128091,-159520
85395,-171865,16012,-86470
85398,-562514,128097,-477116
85399,-205753,32025,-120354
85401,-239283,64051,-153882
85402,-339365,128103,-253963
85403,-97663,8007,-12260
85404,-935009,128106,-849605
85405,-669878,64054,-584473
85406,-579819,128109,-494413
85409,-198759,64057,-113350
85410,-495359,128115,-409949
85411,-148258,16015,-62847
85413,-461523,64060,-376110
85414,-350452,128121,-265038
85415,-199563,32031,-114148
85417,-409324,64063,-323907
85419,-119605,501,-34186
85420,-1699797,128130,-1614377
85421,-270299,64066,-184878
85423,-191348,32034,-105925
85426,-228731,128139,-143305
85427,-134631,16018,-49204
85430,-511646,128145,-426216
85431,-286303,32037,-200872
85433,-168993,64075,-83560
85434,-304591,128151,-219157
85435,-121941,8010,-36506
85436,-537312,128154,-451876
85438,-995247,128157,-909809
85439,-409816,32040,-324377
85441,-1211969,64081,-1126528
85442,-721455,128163,-636013
85443,-685729,16021,-600286
85444,-1024853,128166,-939409
85447,-151175,32043,-65728
85449,-278438,64087,-192989
85450,-420634,128175,-335184
85451,-100941,4006,-15490
85452,-524781,128178,-439329
85453,-391600,64090,-306147
85455,-582890,32046,-497435
85457,-724481,64093,-639024
85458,-244658,128187,-159200
85459,-789956,16024,-704497
85462,-534055,128193,-448593
85463,-274829,32049,-189366
85465,-238445,64099,-152980
85466,-338602,128199,-253136
85467,-183113,8013,-97646
85468,-648846,128202,-563378
85469,-409161,64102,-323692
85470,-585947,128205,-500477
85473,-401602,64105,-316129
85474,-547596,128211,-462122
85475,-136314,16027,-50839
85477,-543647,64108,-458170
85478,-413485,128217,-328007
85479,-329341,32055,-243862
85481,-400467,64111,-314986
85483,-117859,2004,-32376
85485,-279079,64114,-193594
85487,-547397,32058,-461910
85489,-874911,64117,-789422
85490,-244097,128235,-158607
85491,-171196,16030,-85705
85495,-467813,32061,-382318
85497,-197652,64123,-112155
85498,-407281,128247,-321783
85499,-495345,8016,-409846
85500,-651046,128250,-565546
85505,-296821,64129,-211316
85506,-1003295,128259,-917789
85507,-155329,16033,-69822
85508,-1338485,128262,-1252977
85509,-1431390,64132,-1345881
85510,-378794,128265,-293284
85511,-150441,32067,-64930
85513,-200549,64135,-115036
85514,-403095,128271,-317581
85515,-131374,4009,-45859
85516,-446580,128274,-361064
85517,-550506,64138,-464989
85519,-246099,32070,-160580
85522,-264675,128283,-179153
85523,-422876,16036,-337353
85526,-427625,128289,-342099
85527,-227274,32073,-141747
85529,-276641,64147,-191112
85530,-376873,128295,-291343
85531,-528065,8019,-442534
85533,-475020,64150,-389487
85534,-913395,128301,-827861
85535,-275611,32076,-190076
85537,-259330,64153,-173793
85538,-326493,128307,-240955
85539,-540604,16039,-455065
85540,-1401930,128310,-1316390
85542,-743101,128313,-657559
85543,-449548,32079,-364005
85545,-552306,64159,-466761
85547,-96650,1003,-11103
85548,-873199,128322,-787651
85549,-1134087,64162,-1048538
85551,-654215,32082,-568664
85553,-1212388,64165,-1126835
85554,-1334832,128331,-1249278
85555,-1240591,16042,-1155036
85558,-1405950,128337,-1320392
85561,-159832,64171,-74271
85562,-439192,128343,-353630
85563,-519677,8022,-434114
85564,-553619,128346,-468055
85565,-823481,64174,-737916
85566,-654781,128349,-569215
85567,-501654,32088,-416087
85569,-599723,64177,-514154
85570,-248815,128355,-163245
85571,-138011,16045,-52440
85572,-766006,128358,-680434
85574,-845687,128361,-760113
85575,-163792,32091,-78217
85577,-819809,64183,-734232
85578,-962218,128367,-876640
85579,-145496,4012,-59917
85580,-449622,128370,-364042
85581,-319771,64186,-234190
85583,-806844,32094,-721261
85586,-415543,128379,-329957
85587,-421316,16048,-335729
85590,-595651,128385,-510061
85591,-205754,32097,-120163
85593,-250545,64195,-164952
85594,-350852,128391,-265258
85595,-104069,8025,-18474
85596,-996803,128394,-911207
85597,-477566,64198,-391969
85598,-1235209,128397,-1149611
85599,-379660,32100,-294061
85601,-272529,64201,-186928
85602,-371342,128403,-285740
85603,-112480,16051,-26877
85604,-1066568,128406,-980964
85607,-137565,32103,-51958
85609,-1216855,64207,-1131246
85610,-1422522,128415,-1336912
85611,-93682,2007,-8071
85612,-604052,128418,-518440
85613,-322960,64210,-237347
85615,-295753,32106,-210138
85618,-220109,128427,-134491
85619,-251532,16054,-165913
85623,-183778,32109,-98155
85625,-349732,64219,-264107
85626,-1552649,128439,-1467023
85627,-313111,8028,-227484
85628,-535623,128442,-449995
85629,-611685,64222,-526056
85631,-619280,32112,-533649
85633,-463302,64225,-377669
85634,-578467,128451,-492833
85635,-119046,16057,-33411
85637,-823303,64228,-737666
85638,-398648,128457,-313010
85639,-147025,32115,-61386
85641,-197208,64231,-111567
85643,-98169,4015,-12526
85644,-459415,128466,-373771
85645,-699293,64234,-613648
85647,-458298,32118,-372651
85649,-289418,64237,-203769
85650,-264454,128475,-178804
85651,-191186,16060,-105535
85654,-693274,128481,-607620
85655,-148872,32121,-63217
85659,-115216,8031,-29557
85662,-459826,128493,-374164
85663,-333763,32124,-248100
85665,-216615,64249,-130950
85666,-416212,128499,-330546
85667,-152811,16063,-67144
85669,-1410947,64252,-1325278
85670,-355611,128505,-269941
85671,-1059851,32127,-974180
85673,-1388098,64255,-1302425
85675,-94135,126,-8460
85676,-598154,128514,-512478
85677,-305998,64258,-220321
85679,-217492,32130,-131813
85681,-510191,64261,-424510
85682,-230766,128523,-145084
85683,-136384,16066,-50701
85686,-911899,128529,-826213
85687,-393251,32133,-307564
85689,-187312,64267,-101623
85690,-938840,128535,-853150
85691,-140119,8034,-54428
85692,-1163663,128538,-1077971
85694,-1411248,128541,-1325554
85695,-351122,32136,-265427
85697,-512658,64273,-426961
85698,-279470,128547,-193772
85699,-211519,16069,-125820
85700,-583777,128550,-498077
85701,-671463,64276,-585762
85702,-514577,128553,-428875
85703,-119662,32139,-33959
85705,-244167,64279,-158462
85706,-386789,128559,-301083
85707,-96065,4018,-10358
85708,-873261,128562,-787553
85709,-739681,64282,-653972
85713,-434353,64285,-348640
85714,-271838,128571,-186124
85715,-230157,16072,-144442
85718,-1127583,128577,-1041865
85719,-226394,32145,-140675
85721,-252471,64291,-166750
85722,-352928,128583,-267206
85723,-204885,8037,-119162
85724,-1098450,128586,-1012726
85725,-404674,64294,-318949
85726,-609280,128589,-523554
85727,-1063955,32148,-978228
85729,-979620,64297,-893891
85730,-1197257,128595,-1111527
85731,-103721,16075,-17990
85732,-759775,128598,-674043
85733,-523726,64300,-437993
85734,-480938,128601,-395204
85735,-243168,32151,-157433
85737,-314507,64303,-228770
85738,-710686,128607,-624948
85739,-91925,2010,-6186
85740,-660302,128610,-574562
85741,-360297,64306,-274556
85743,-293484,32154,-207741
85746,-218541,128619,-132795
85747,-349513,16078,-263766
85751,-1751673,32157,-1665922
85753,-588090,64315,-502337
85754,-576562,128631,-490808
85755,-567243,8040,-481488
85756,-916123,128634,-830367
85757,-727257,64318,-641500
85758,-1184977,128637,-1099219
85762,-256647,128643,-170885
85763,-202230,16081,-116467
85764,-1323587,128646,-1237823
85765,-556269,64324,-470504
85766,-426364,128649,-340598
85767,-161153,32163,-75386
85769,-211411,64327,-125642
85770,-718415,128655,-632645
85771,-143289,4021,-57518
85772,-469161,128658,-383389
85773,-367144,64330,-281371
85775,-237307,32166,-151532
85777,-487732,64333,-401955
85778,-276989,128667,-191211
85779,-275065,16084,-189286
85782,-429296,128673,-343514
85783,-307580,32169,-221797
85785,-469912,64339,-384127
85786,-570444,128679,-484658
85787,-102164,8043,-16377
85789,-587377,64342,-501588
85790,-537982,128685,-452192
85791,-319687,32172,-233896
85793,-216787,64345,-130994
85794,-284151,128691,-198357
85795,-122206,16087,-36411
85798,-325309,128697,-239511
85799,-157905,32175,-72106
85801,-413111,64351,-327310
85802,-714259,128703,-628457
85803,-96823,1006,-11020
85804,-463715,128706,-377911
85807,-173129,32178,-87322
85809,-463077,64357,-377268
85810,-234224,128715,-148414
85811,-139701,16090,-53890
85814,-1158825,128721,-1073011
85815,-612025,32181,-526210
85817,-160194,64363,-74377
85818,-371053,128727,-285235
85819,-240759,8046,-154940
85820,-583765,128730,-497945
85822,-661469,128733,-575647
85823,-1030210,32184,-944387
85825,-814682,64369,-728857
85826,-247209,128739,-161383
85827,-149439,16093,-63612
85828,-1017896,128742,-932068
85830,-405424,128745,-319594
85831,-132936,32187,-47105
85833,-250152,64375,-164319
85834,-392987,128751,-307153
85835,-166020,4024,-80185
85836,-419621,128754,-333785
85837,-847177,64378,-761340
85839,-640826,32190,-554987
85841,-432587,64381,-346746
85842,-349994,128763,-264152
85846,-1068765,128769,-982919
85847,-396704,32193,-310857
85849,-195091,64387,-109242
85850,-295698,128775,-209848
85851,-161515,8049,-75664
85853,-450014,64390,-364161
85854,-675133,128781,-589279
85855,-313448,32196,-227593
85857,-273706,64393,-187849
85858,-1831495,128787,-1745637
85859,-113122,16099,-27263
85860,-711649,128790,-625789
85861,-664811,64396,-578950
85863,-138282,32199,-52419
85865,-281423,64399,-195558
85866,-487705,128799,-401839
85867,-99417,2013,-13550
85868,-532821,128802,-446953
85869,-272380,64402,-186511
85871,-221317,32202,-135446
85874,-226222,128811,-140348
85875,-188175,16102,-102300
85878,-780099,128817,-694221
85879,-232589,32205,-146710
85881,-166358,64411,-80477
85882,-560049,128823,-474167
85883,-259647,8052,-173764
85884,-730431,128826,-644547
85885,-476261,64414,-390376
85887,-838603,32208,-752716
85889,-242616,64417,-156727
85890,-364999,128835,-279109
85891,-131463,16105,-45572
85892,-749254,128838,-663362
85893,-1018686,64420,-932793
85895,-195870,32211,-109975
85897,-246203,64423,-160306
85898,-720974,128847,-635076
85899,-98874,4027,-12975
85900,-568650,128850,-482750
85903,-312187,32214,-226284
85905,-298630,64429,-212725
85906,-273168,128859,-187262
85907,-199681,16108,-113774
85910,-441559,128865,-355649
85911,-154691,32217,-68780
85913,-188422,64435,-102509
85914,-289104,128871,-203190
85915,-109675,8055,-23760
85916,-830200,128874,-744284
85917,-555175,64438,-469258
85918,-619636,128877,-533718
85919,-446337,32220,-360418
85921,-211377,64441,-125456
85922,-452648,128883,-366726
85923,-127557,16111,-41634
85925,-611943,64444,-526018
85926,-330963,128889,-245037
85927,-486793,32223,-400866
85929,-637593,64447,-551664
85931,-132472,504,-46541
85932,-762581,128898,-676649
85933,-606685,64450,-520752
85935,-557002,32226,-471067
85937,-835613,64453,-749676
85938,-229458,128907,-143520
85939,-134794,16114,-48855
85942,-518964,128913,-433022
85943,-333106,32229,-247163
85945,-421392,64459,-335447
85946,-551320,128919,-465374
85947,-374058,8058,-288111
85948,-753019,128922,-667071
85950,-1003570,128925,-917620
85951,-701245,32232,-615294
85953,-572719,64465,-486766
85954,-521758,128931,-435804
85955,-358083,16117,-272128
85956,-826974,128934,-741018
85958,-733441,128937,-647483
85959,-164231,32235,-78272
85961,-697927,64471,-611966
85962,-840975,128943,-755013
85963,-122275,4030,-36312
85964,-425399,128946,-339435
85965,-291420,64474,-205455
85967,-487251,32238,-401284
85969,-345267,64477,-259298
85970,-266853,128955,-180883
85971,-761693,16120,-675722
85974,-804678,128961,-718704
85975,-628838,32241,-542863
85977,-207832,64483,-121855
85978,-308589,128967,-222611
85979,-164220,8061,-78241
85981,-373957,64486,-287976
85982,-551802,128973,-465820
85983,-748495,32244,-662512
85985,-292449,64489,-206464
85987,-155565,16123,-69578
85988,-1599240,128982,-1513252
85989,-661564,64492,-575575
85990,-374000,128985,-288010
85991,-276980,32247,-190989
85993,-348532,64495,-262539
85994,-1548034,128991,-1462040
85995,-193994,2016,-107999
85996,-1074649,128994,-988653
85997,-299185,64498,-213188
85999,-271190,32250,-185191
86002,-320988,129003,-234986
86003,-275345,16126,-189342
86007,-679070,32253,-593063
86009,-330823,64507,-244814
86010,-729075,129015,-643065
86012,-811995,129018,-725983
86014,-1367835,129021,-1281821
86017,-579248,64513,-493231
86018,-363494,129027,-277476
86019,-255084,16129,-169065
86020,-700691,129030,-614671
86021,-624465,64516,-538444
86022,-479887,129033,-393865
86023,-140061,32259,-54038
86025,-190469,64519,-104444
86026,-530751,129039,-444725
86027,-107148,4033,-21121
86028,-437973,129042,-351945
86029,-1016673,64522,-930644
86031,-224382,32262,-138351
86033,-445727,64525,-359694
86034,-241247,129051,-155213
86035,-253379,16132,-167344
86038,-494768,129057,-408730
86039,-163372,32265,-77333
86041,-299852,64531,-213811
86042,-400684,129063,-314642
86043,-105453,8067,-19410
86045,-467514,64534,-381469
86046,-608057,129069,-522011
86047,-256219,32268,-170172
86049,-790387,64537,-704338
86050,-857952,129075,-771902
86051,-118067,16135,-32016
86054,-321776,129081,-235722
86055,-180585,32271,-94530
86057,-283958,64543,-197901
86059,-102308,1009,-16249
86060,-604534,129090,-518474
86061,-445445,64546,-359384
86063,-179982,32274,-93919
86066,-499928,129099,-413862
86067,-405123,16138,-319056
86071,-743233,32277,-657162
86073,-165868,64555,-79795
86078,-967913,129117,-881835
86079,-843471,32280,-757392
86081,-450425,64561,-364344
86084,-667370,129126,-581286
86086,-536705,129129,-450619
86087,-135880,32283,-49793
86089,-822452,64567,-736363
86090,-965713,129135,-879623
86091,-120342,4036,-34251
86092,-423420,129138,-337328
86093,-546275,64570,-460182
86095,-527609,32286,-441514
86097,-1023347,64573,-937250
86098,-281027,129147,-194929
86099,-913902,16144,-827803
86102,-521095,129153,-434993
86103,-522553,32289,-436450
86105,-543873,64579,-457768
86106,-644780,129159,-558674
86107,-116421,8073,-30314
86109,-571483,64582,-485374
86110,-868794,129165,-782684
86113,-1016423,64585,-930310
86114,-1115827,129171,-1029713
86115,-244563,16147,-158448
86116,-1649388,129174,-1563272
86117,-406825,64588,-320708
86118,-1097862,129177,-1011744
86119,-269798,32295,-183679
86121,-287022,64591,-200901
86122,-493919,129183,-407797
86123,-98597,2019,-12474
86124,-933275,129186,-847151
86125,-413567,64594,-327442
86127,-1303541,32298,-1217414
86130,-225780,129195,-139650
86131,-171365,16150,-85234
86134,-1479502,129201,-1393368
86135,-220645,32301,-134510
86137,-183615,64603,-97478
86138,-896251,129207,-810113
86139,-146775,8076,-60636
86140,-604405,129210,-518265
86143,-886671,32304,-800528
86145,-550356,64609,-464211
86146,-616862,129219,-530716
86149,-924647,64612,-838498
86150,-396469,129225,-310319
86155,-101785,4039,-15630
86156,-579070,129234,-492914
86157,-524303,64618,-438146
86162,-1801069,129243,-1714907
86163,-1727363,16156,-1641200
86167,-152791,32313,-66624
86169,-2027944,64627,-1941775
86170,-2128926,129255,-2042756
86171,-146235,8079,-60064
86172,-938826,129258,-852654
86174,-480955,129261,-394781
86175,-283281,32316,-197106
86177,-248240,64633,-162063
86178,-2345814,129267,-2259636
86179,-172124,16159,-85945
86181,-511371,64636,-425190
86182,-376136,129273,-289954
86187,-89105,253,-2918
86188,-521696,129282,-435508
86189,-363246,64642,-277057
86191,-227611,32322,-141420
86193,-558256,64645,-472063
86194,-282730,129291,-196536
86195,-187784,16162,-101589
86198,-673749,129297,-587551
86201,-223229,64651,-137028
86202,-395675,129303,-309473
86203,-175754,8082,-89551
86204,-657641,129306,-571437
86206,-1031531,129309,-945325
86207,-602717,32328,-516510
86209,-343939,64657,-257730
86210,-438439,129315,-352229
86211,-342719,16165,-256508
86212,-744564,129318,-658352
86213,-920021,64660,-833808
86214,-698012,129321,-611798
86215,-193103,32331,-106888
86217,-261525,64663,-175308
86218,-404999,129327,-318781
86219,-169365,4042,-83146
86220,-467281,129330,-381061
86221,-332903,64666,-246682
86223,-870489,32334,-784266
86225,-812345,64669,-726120
86226,-317225,129339,-230999
86227,-275295,16168,-189068
86230,-928437,129345,-842207
86231,-589597,32337,-503366
86233,-240373,64675,-154140
86234,-341430,129351,-255196
86235,-222349,8085,-136114
86236,-718260,129354,-632024
86237,-393485,64678,-307248
86238,-1139846,129357,-1053608
86239,-3122286,32340,-3036047
86241,-842724,64681,-756483
86243,-105079,16171,-18836
86244,-1111745,129366,-1025501
86245,-498929,64684,-412684
86246,-423906,129369,-337660
86247,-215914,32343,-129667
86249,-287679,64687,-201430
86250,-883768,129375,-797518
86251,-94011,2022,-7760
86252,-847572,129378,-761320
86253,-1031032,64690,-944779
86255,-963820,32346,-877565
86257,-611891,64693,-525634
86258,-221383,129387,-135125
86259,-337230,16174,-250971
86263,-1011723,32349,-925460
86265,-166559,64699,-80294
86266,-881099,129399,-794833
86267,-253566,8088,-167299
86269,-1403978,64702,-1317709
86270,-1323264,129405,-1236994
86273,-459855,64705,-373582
86274,-1217071,129411,-1130797
86275,-1104788,16177,-1018513
86277,-1454932,64708,-1368655
86278,-1330260,129417,-1243982
86279,-127549,32355,-41270
86281,-178107,64711,-91826
86282,-547242,129423,-460960
86283,-99623,4045,-13340
86284,-1559625,129426,-1473341
86285,-1456999,64714,-1370714
86287,-1336014,32358,-1249727
86289,-1425257,64717,-1338968
86290,-234121,129435,-147831
86291,-615208,16180,-528917
86294,-387337,129441,-301043
86299,-97624,8091,-11325
86302,-485790,129453,-399488
86303,-363024,32364,-276721
86305,-284094,64729,-197789
86306,-351860,129459,-265554
86307,-208578,16183,-122271
86308,-884868,129462,-798560
86309,-609548,64732,-523239
86310,-412893,129465,-326583
86311,-244490,32367,-158179
86313,-470556,64735,-384243
86314,-773501,129471,-687187
86315,-112803,1012,-26488
86316,-640072,129474,-553756
86317,-674681,64738,-588364
86319,-169719,32370,-83400
86321,-543557,64741,-457236
86322,-253997,129483,-167675
86323,-158910,16186,-72587
86326,-697381,129489,-611055
86327,-516554,32373,-430227
86329,-176552,64747,-90223
86331,-145141,8094,-58810
86332,-502145,129498,-415813
86333,-712773,64750,-626440
86334,-797236,129501,-710902
86337,-632055,64753,-545718
86338,-264086,129507,-177748
86339,-299568,16189,-213229
86340,-702862,129510,-616522
86342,-557080,129513,-470738
86343,-153116,32379,-66773
86345,-255944,64759,-169599
86346,-399631,129519,-313285
86347,-845430,4048,-759083
86348,-441511,129522,-355163
86349,-385068,64762,-298719
86354,-1066364,129531,-980010
86358,-498960,129537,-412602
86359,-211192,32385,-124833
86361,-265776,64771,-179415
86362,-366983,129543,-280621
86363,-107278,8097,-20915
86364,-705538,129546,-619174
86365,-435056,64774,-348691
86369,-220138,64777,-133769
86370,-468228,129555,-381858
86371,-115472,16195,-29101
86372,-767825,129558,-681453
86373,-441409,64780,-355036
86374,-423068,129561,-336694
86375,-140782,32391,-54407
86377,-276463,64783,-190086
86378,-483975,129567,-397597
86379,-93324,2025,-6945
86380,-554021,129570,-467641
86381,-265048,64786,-178667
86383,-452494,32394,-366111
86386,-220885,129579,-134499
86387,-163801,16198,-77414
86390,-1625443,129585,-1539053
86391,-303337,32397,-216946
86393,-160664,64795,-74271
86395,-201705,8100,-115310
86396,-692739,129594,-606343
86397,-479065,64798,-392668
86399,-656929,32400,-570530
86401,-247424,64801,-161023
86402,-290206,129603,-203804
86403,-130910,16201,-44507
86404,-1020206,129606,-933802
86405,-1007559,64804,-921154
86406,-501508,129609,-415102
86407,-155851,32403,-69444
86409,-206484,64807,-120075
86410,-535623,129615,-449213
86411,-122902,4051,-36491
86412,-871517,129618,-785105
86413,-888360,64810,-801947
86415,-675168,32406,-588753
86417,-790607,64813,-704190
86418,-240144,129627,-153726
86419,-166219,16204,-79800
86422,-511366,129633,-424944
86423,-209722,32409,-123299
86425,-243654,64819,-157229
86426,-344936,129639,-258510
86427,-129249,8103,-42822
86428,-967723,129642,-881295
86429,-543294,64822,-456865
86430,-543405,129645,-456975
86431,-1408046,32412,-1321615
86433,-231557,64825,-145124
86434,-898011,129651,-811577
86435,-213974,16207,-127539
86437,-451045,64828,-364608
86438,-418592,129657,-332154
86439,-265894,32415,-179455
86441,-2182059,64831,-2095618
86443,-97427,507,-10984
86444,-829519,129666,-743075
86445,-297305,64834,-210860
86447,-218144,32418,-131697
86449,-868557,64837,-782108
86450,-265070,129675,-178620
86451,-169842,16210,-83391
86454,-524591,129681,-438137
86455,-1035799,32421,-949344
86457,-278759,64843,-192302
86458,-341839,129687,-255381
86459,-231143,8106,-144684
86460,-586140,129690,-499680
86463,-519218,32424,-432755
86466,-476979,129699,-390513
86468,-784013,129702,-697545
86471,-129375,32427,-42904
86473,-597925,64855,-511452
86474,-741825,129711,-655351
86475,-115475,4054,-29000
86476,-433509,129714,-347033
86477,-298732,64858,-212255
86479,-956274,32430,-869795
86481,-349862,64861,-263381
86482,-260914,129723,-174432
86483,-318520,16216,-232037
86486,-632572,129729,-546086
86487,-299303,32433,-212816
86489,-170530,64867,-84041
86490,-271887,129735,-185397
86491,-114535,8109,-28044
86492,-611862,129738,-525370
86497,-286993,64873,-200496
86498,-434736,129747,-348238
86499,-127922,16219,-41423
86500,-1300230,129750,-1213730
86501,-749623,64876,-663122
86502,-341679,129753,-255177
86503,-669931,32439,-583428
86505,-741909,64879,-655404
86506,-1116172,129759,-1029666
86507,-118682,2028,-32175
86508,-1462506,129762,-1375998
86509,-272397,64882,-185888
86511,-255263,32442,-168752
86514,-246432,129771,-159918
86515,-245088,16222,-158573
86519,-937736,32445,-851217
86521,-192955,64891,-106434
86522,-504970,129783,-418448
86523,-195877,8112,-109354
86524,-781012,129786,-694488
86529,-385411,64897,-298882
86530,-409434,129795,-322904
86531,-149161,16225,-62630
86532,-748638,129798,-662106
86533,-1236345,64900,-1149812
86534,-375302,129801,-288768
86535,-193699,32451,-107164
86537,-244407,64903,-157870
86538,-414489,129807,-327951
86539,-104250,4057,-17711
86540,-493384,129810,-406844
86541,-444180,64906,-357639
86543,-308473,32454,-221930
86545,-973149,64909,-886604
86546,-239147,129819,-152601
86547,-231956,16228,-145409
86550,-474460,129825,-387910
86551,-193612,32457,-107061
86553,-243570,64915,-157017
86554,-345002,129831,-258448
86555,-108515,8115,-21960
86559,-379203,32460,-292644
86561,-358033,64921,-271472
86562,-426000,129843,-339438
86563,-121204,16231,-34641
86565,-891393,64924,-804828
86566,-326125,129849,-239559
86571,-89597,1015,-3026
86572,-457780,129858,-371208
86573,-418399,64930,-331826
86575,-211432,32466,-124857
86577,-454556,64933,-367979
86578,-293050,129867,-206472
86579,-197681,16234,-111102
86582,-1072201,129873,-985619
86583,-668064,32469,-581481
86585,-153535,64939,-66950
86586,-506537,129879,-419951
86587,-137023,8118,-50436
86588,-504503,129882,-417915
86589,-893741,64942,-807152
86590,-673477,129885,-586887
86594,-255007,129891,-168413
86595,-142877,16237,-56282
86596,-851855,129894,-765259
86598,-646123,129897,-559525
86599,-139570,32475,-52971
86601,-507305,64951,-420704
86602,-651418,129903,-564816
86603,-121055,4060,-34452
86604,-428820,129906,-342216
86605,-320817,64954,-234212
86607,-442300,32478,-355693
86609,-1129531,64957,-1042922
86610,-491738,129915,-405128
86611,-497580,16240,-410969
86614,-453609,129921,-366995
86615,-207071,32481,-120456
86617,-285475,64963,-198858
86618,-386982,129927,-300364
86619,-102461,8121,-15842
86623,-410522,32484,-323899
86625,-252071,64969,-165446
86626,-352066,129939,-265440
86627,-114786,16243,-28159
86628,-717915,129942,-631287
86629,-478386,64972,-391757
