src,dst,kappa,delta,w_raw,w_aug
87,65,2,0.002777084671,-0.415037499279,-0.412260414608
88,9973,1,0.002745376739,0.584962500721,0.587707877460
88,14828,2,0.002745376739,-0.415037499279,-0.412292122540
89,133,1,0.002714384697,0.584962500721,0.587676885418
89,9908,2,0.002714384697,-0.415037499279,-0.412323114582
90,9976,1,0.002684084571,0.584962500721,0.587646585292
90,4988,2,0.002684084571,-0.415037499279,-0.412353414708
91,136,1,0.002654453446,0.584962500721,0.587616954167
91,68,2,0.002654453446,-0.415037499279,-0.412383045833
92,9979,1,0.002625469407,0.584962500721,0.587587970128
92,14831,2,0.002625469407,-0.415037499279,-0.412412029872
93,139,1,0.002597111486,0.584962500721,0.587559612207
93,9911,2,0.002597111486,-0.415037499279,-0.412440387793
94,9982,1,0.002569359612,0.584962500721,0.587531860333
94,4991,2,0.002569359612,-0.415037499279,-0.412468139667
95,142,1,0.002542194562,0.584962500721,0.587504695284
95,71,2,0.002542194562,-0.415037499279,-0.412495304716
96,9985,1,0.002515597919,0.584962500721,0.587478098640
96,14834,2,0.002515597919,-0.415037499279,-0.412521901360
97,145,1,0.002489552026,0.584962500721,0.587452052747
97,9914,2,0.002489552026,-0.415037499279,-0.412547947253
98,9988,1,0.002464039951,0.584962500721,0.587426540673
98,4994,2,0.002464039951,-0.415037499279,-0.412573459327
99,148,1,0.002439045451,0.584962500721,0.587401546173
99,74,2,0.002439045451,-0.415037499279,-0.412598453827
100,9991,1,0.002414552933,0.584962500721,0.587377053654
100,14837,2,0.002414552933,-0.415037499279,-0.412622946346
101,151,1,0.002390547425,0.584962500721,0.587353048146
101,9917,2,0.002390547425,-0.415037499279,-0.412646951854
102,9994,1,0.002367014544,0.584962500721,0.587329515265
102,4997,2,0.002367014544,-0.415037499279,-0.412670484735
103,154,1,0.002343940468,0.584962500721,0.587306441189
103,77,2,0.002343940468,-0.415037499279,-0.412693558811
104,9997,1,0.002321311910,0.584962500721,0.587283812631
104,14840,2,0.002321311910,-0.415037499279,-0.412716187369
105,157,1,0.002299116090,0.584962500721,0.587261616811
105,9920,2,0.002299116090,-0.415037499279,-0.412738383189
106,10000,1,0.002277340711,0.584962500721,0.587239841432
106,5000,2,0.002277340711,-0.415037499279,-0.412760158568
107,160,1,0.002255973940,0.584962500721,0.587218474662
107,80,2,0.002255973940,-0.415037499279,-0.412781525338
108,10003,1,0.002235004383,0.584962500721,0.587197505104
108,14843,2,0.002235004383,-0.415037499279,-0.412802494896
109,163,1,0.002214421065,0.584962500721,0.587176921787
109,9923,2,0.002214421065,-0.415037499279,-0.412823078213
110,10006,1,0.002194213413,0.584962500721,0.587156714134
110,5003,2,0.002194213413,-0.415037499279,-0.412843285866
111,166,1,0.002174371234,0.584962500721,0.587136871955
111,83,2,0.002174371234,-0.415037499279,-0.412863128045
112,10009,1,0.002154884704,0.584962500721,0.587117385425
112,14846,2,0.002154884704,-0.415037499279,-0.412882614575
113,169,1,0.002135744344,0.584962500721,0.587098245065
113,9926,2,0.002135744344,-0.415037499279,-0.412901754935
114,10012,1,0.002116941012,0.584962500721,0.587079441733
114,5006,2,0.002116941012,-0.415037499279,-0.412920558267
115,172,1,0.002098465884,0.584962500721,0.587060966605
115,86,2,0.002098465884,-0.415037499279,-0.412939033395
116,10015,1,0.002080310441,0.584962500721,0.587042811162
116,14849,2,0.002080310441,-0.415037499279,-0.412957188838
117,175,1,0.002062466457,0.584962500721,0.587024967178
117,9929,2,0.002062466457,-0.415037499279,-0.412975032822
118,10018,1,0.002044925985,0.584962500721,0.587007426706
118,5009,2,0.002044925985,-0.415037499279,-0.412992573294
119,178,1,0.002027681347,0.584962500721,0.586990182068
119,89,2,0.002027681347,-0.415037499279,-0.413009817932
120,10021,1,0.002010725121,0.584962500721,0.586973225842
120,14852,2,0.002010725121,-0.415037499279,-0.413026774158
121,181,1,0.001994050132,0.584962500721,0.586956550853
121,9932,2,0.001994050132,-0.415037499279,-0.413043449147
122,10024,1,0.001977649440,0.584962500721,0.586940150162
122,5012,2,0.001977649440,-0.415037499279,-0.413059849838
123,184,1,0.001961516333,0.584962500721,0.586924017054
123,92,2,0.001961516333,-0.415037499279,-0.413075982946
124,10027,1,0.001945644315,0.584962500721,0.586908145036
